Country Code,Countries/territories,Region,Year,Population group selected,Population analysed,% pop analysed of tot country pop,Population in Phase 3 or above #,Population in Phase 3 or above %,Population in Phase 1 #,Population in Phase 1 %,Population in Phase 2 #,Population in Phase 2 %,Population in Phase 3 #,Population in Phase 3 %,Population in Phase 4 #,Population in Phase 4 %,Population in Phase 5 #,Population in Phase 5 %,Major Food Crisis,Primary driver,Secondary driver,Tertiary driver,Total country population,Total country GDP (US$),GDP per capita (US$)
SRB,Serbia,MENA,2016,,,,,,,,,,,,,,,,,,,,7058322.0,42225495909.5633,5982.37030126471
SSD,South Sudan,EAST AFRICA,2016,Whole country,11845855.0,0.96,4935000.0,0.41,2920000,0.25,4120000.0,0.35,3765000.0,0.32,1070000.0,0.09,100000.0,0.01,Y,Conflict/insecurity,,,10830102.0,,
STP,São Tomé and Principe,CS AFRICA,2016,,,,,,,,,,,,,,,,,,,,203689.0,292267272.196925,1434.87018050521
SUR,Suriname,LAC,2016,,,,,,,,,,,,,,,,,,,,587757.0,3317421648.09918,5644.2061057532
SWZ,Eswatini,CS AFRICA,2016,Whole country,910543.0,0.81,350069.0,0.38446289741396067,272291,0.29203229631502997,288182.0,0.31,277239.0,0.31,72831.0,0.09,0.0,0.0,Y,Weather extremes,,,1149507.0,3724180911.37828,3239.80707501414
SYR,Syrian Arab Republic,MENA,2016,Whole country,18600000.0,1.0,6745678.0,0.36267086021505374,9470397,0.5091611290322581,2383925.0,0.12816801075268816,,,,,,,Y,Conflict/insecurity,,,19193834.0,12597854877.4254,656.3490586313
TCD,Chad,WEST AFRICA,2016,Whole country,12903715.0,0.86,1052435.6500000004,0.08156067070607188,9132141.9,0.7077141660366801,2719137.45,0.21072516325724802,1052435.6500000004,0.08156067070607188,0.0,0.0,0.0,0.0,Y,Conflict/insecurity,,,15114655.0,13026289835.7789,861.831767630746
TGO,Togo,WEST AFRICA,2016,,,,,,,,,,,,,,,,,,,,7858289.0,6071170959.12093,772.581787093976
THA,Thailand,ASIA,2016,,,,,,,,,,,,,,,,,,,,70859841.0,413366349747.508,5833.57715617098
TJK,Tajikistan,ASIA,2016,,,,,,,,,,,,,,,,,,,,8865631.0,6992416096.89018,788.710481734485
TKM,Turkmenistan,ASIA,2016,,,,,,,,,,,,,,,,,,,,6360041.0,36169428571.4286,5686.98040962764
TLS,Timor-Leste,ASIA,2016,,,,,,,,,,,,,,,,,,,,1228312.0,1640464600.0,1335.54390089814
TON,Tonga,ASIA,2016,,,,,,,,,,,,,,,,,,,,105524.0,420828254.541601,3987.98618837043
TUN,Tunisia,MENA,2016,,,,,,,,,,,,,,,,,,,,11528674.0,44360072680.4476,3847.80354448809
TUR,Türkiye,MENA,2016,Refugees,,,,,,,,,,,,,,,,,,,79277962.0,869682881593.041,10970.0458948862
TUV,Tuvalu,ASIA,2016,,,,,,,,,,,,,,,,,,,,10930.0,41629064.2232388,3808.69755015909
TZA,United Republic of Tanzania,CS AFRICA,2016,,35800000.0,0.66,359000.0,0.010027932960893854,merged with Phase 2 ,,35441000.0,0.9899720670391061,,,,,,,N,Weather extremes,,,53824013.0,49774409374.4538,953.0107421875
UGA,Uganda,EAST AFRICA,2016,Whole country,37240450.0,0.93,390165.0,0.010476914215590842,30892130,0.8295315980338583,5958155.0,0.1599914877505508,390165.0,0.010476914215590842,0.0,0.0,0.0,0.0,N,Weather extremes,,,38799152.0,29203988696.2626,752.696571725656
UKR,Ukraine,EU,2016,,,,,,,,,,,,,,,,,,,,45616832.0,93355869403.9223,2158.46118164063
UZB,Uzbekistan,ASIA,2016,,,,,,,,,,,,,,,,,,,,31284568.0,86138288644.171,2753.37951427589
VCT,Saint Vincent and the Grenadines,LAC,2016,,,,,,,,,,,,,,,,,,,,106349.0,814303703.703704,7656.90042881178
VEN,Venezuela (Bolivarian Republic of),LAC,2016,,,,,,,,,,,,,,,,,,,,30765720.0,,
VNM,Vietnam,ASIA,2016,,,,,,,,,,,,,,,,,,,,94000117.0,257096001177.982,2735.0604380416
VUT,Vanuatu,ASIA,2016,,,,,,,,,,,,,,,,,,,,272087.0,804323576.861028,2956.12644801489
WSM,Samoa,ASIA,2016,,,,,,,,,,,,,,,,,,,,203499.0,843924796.697421,4147.07097674888
XKX,Kosovo,MENA,2016,,,,,,,,,,,,,,,,,,,,1777568.0,6682677289.98994,3759.44959067104
YEM,Yemen,MENA,2016,Whole country,27428000.0,1.0,14119280.0,0.5147761411696077,5101538,0.18599744786349715,8207183.0,0.29922644742598803,7119165.0,0.25955829808954356,7000115.0,0.2552178430800642,0.0,0.0,Y,Conflict/insecurity,,,32109010.0,31317825274.1507,975.359417003225
ZAF,South Africa,CS AFRICA,2016,,55000000.0,1.0,3900000.0,0.07090909090909091,40700000,0.74,10400000.0,0.1890909090909091,,,,,,,N,Weather extremes,,,57259551.0,323585509674.481,5651.20585165749
ZMB,Zambia,CS AFRICA,2016,,9200000.0,0.5486719425449826,0.0,0.0,8225000,0.8940217391304348,975000.0,0.10597826086956522,0.0,0.0,0.0,0.0,0.0,0.0,N,Weather extremes,,,16914423.0,20958412538.3093,1239.08527877713
ZWE,Zimbabwe,CS AFRICA,2016,Whole country,9623278.0,0.68,4071532.0,0.42309200669460034,4142256,0.430441269596493,1402094.0,0.14569817062335724,3428114.0,0.35623142135143554,643418.0,0.06686058534316477,0.0,0.0,Y,Weather extremes,,,14600294.0,20548759858.0924,1407.42096413212
AFG,Afghanistan,ASIA,2017,Whole country,29003956.0,0.98,7605812.0,0.26223360702933074,11452455,0.39485837725033096,9945689.0,0.3429080157203383,5710868.0,0.1968996229341956,1894944.0,0.06533398409513516,0.0,0.0,Y,Conflict/insecurity,,,35688935.0,18753456497.8159,525.469770891619
AGO,Angola,CS AFRICA,2017,,12800000.0,0.4550670848875385,75593.0,0.005905703125,12044000,0.9409375,680407.0,0.053156796875,,,,,,,N,Weather extremes,,,30234839.0,73690154990.7312,2437.25971190821
ALB,Albania,MENA,2017,,,,,,,,,,,,,,,,,,,,2873457.0,13258268435.6048,4614.0479692596
ARG,Argentina,LAC,2017,,,,,,,,,,,,,,,,,,,,44288894.0,643628393281.364,14532.5009308511
ARM,Armenia,MENA,2017,,,,,,,,,,,,,,,,,,,,2979400.0,11527458709.0158,3869.05373867752
ASM,American Samoa,LAC,2017,,,,,,,,,,,,,,,,,,,,51586.0,612000000.0,11863.6839452565
AZE,Azerbaijan,MENA,2017,,,,,,,,,,,,,,,,,,,,9854033.0,40866627351.9817,4147.1981423222
BDI,Burundi,EAST AFRICA,2017,Whole country,9758864.0,0.93826768316473,2565868.0,0.26292691444414024,3159436,0.3237503873401658,4033559.9999999995,0.4133226982156939,1864751.0,0.1910827940629155,701117.0,0.0718441203812247,0.0,0.0,Y,Conflict/insecurity,,,11506762.0,2723586962.84034,236.694472592753
BEN,Benin,WEST AFRICA,2017,,,,,,,,,,,,,,,,,,,,12039780.0,12701655836.9467,1054.97408066814
BFA,Burkina Faso,WEST AFRICA,2017,Whole country,19530672.0,1.0,257237.0,0.013170924175061667,17484648,0.8952404709884022,1788787.0,0.0915886048365361,251685.0,0.012886653362464947,5552.0,0.00028427081259671966,0.0,0.0,N,Conflict/insecurity,,,19894407.0,14106955615.3442,709.091535894695
BGD,Bangladesh,ASIA,2017,Whole country,11131571.0,0.06,3443777.0,0.30937025869933366,4549818,0.40873098684812775,3137976.0,0.28189875445253865,2938267.0,0.2639579804144446,505510.0,0.05086820906490786,0.0,0.0,Y,Conflict/insecurity,,,162186147.0,293732446624.596,1811.08221668646
